p1,p2,p3,p4,letter
2.61,2.66,3.36,0,U
2.6,2.58,3.41,0,U
2.58,2.68,3.53,0,U
2.45,2.56,3.43,0,U
2.63,2.62,3.5,0,U
2.58,2.45,3.51,0,U
2.55,2.49,3.44,0,U
2.49,2.53,3.49,0,U
2.62,2.55,3.51,0,U
2.21,2.25,3.27,0,U
2.26,2.31,3.14,0,U
2.32,2.39,2.99,0,U
2.23,2.3,3.65,0,U
2.23,2.19,3.04,0,U
2.25,2.26,3.06,0,U
2.27,2.26,3.32,0,U
2.24,2.26,3.21,0,U
2.34,2.4,3.33,0,U
2.33,2.46,3.12,0,U
2.41,2.44,3.52,0,U
2.44,2.47,2.97,0,U
2.43,2.39,3.19,0,U
2.45,2.51,3.45,0,U
2.49,2.59,3.13,0,U
2.36,2.46,3.14,0,U
2.4,2.49,3.57,0,U
2.33,2.5,3.25,0,U
2.51,2.5,2.86,0,U
2.56,2.49,2.95,0,U
2.54,2.55,2.96,0,U
2.56,2.62,3.24,0,U
2.53,2.66,3.16,0,U
2.31,2.4,3.49,0,U
2.43,2.51,3.62,0,U
2.43,2.4,3.28,0,U
2.29,2.42,3.42,0,U
2.35,2.51,3.16,0,U
2.29,2.26,3.17,0,U
2.42,2.52,3.64,0,U
2.11,2.15,3.52,0,U
2.13,2.09,3.52,0,U
2.14,2.11,3.11,0,U
2.21,2.16,3.19,0,U
2.23,2.25,2.91,0,U
2.11,2.17,3.02,0,U
2.14,2.16,3.31,0,U
2.19,2.21,3.24,0,U
2.58,2.7,3.62,0,U
2.42,2.53,3.54,0,U
2.43,2.54,3.35,0,U
3.34,3.22,3.71,3.54,C
3.26,3.31,3.63,3.55,C
3.41,3.32,3.59,3.39,C
3.3,3.09,3.66,3.46,C
3.45,3.31,3.62,3.49,C
3.15,3.25,3.74,3.61,C
3.32,3.41,3.58,3.59,C
3.17,3.19,3.62,3.5,C
3.27,3.11,3.79,3.44,C
3.36,3.25,3.77,3.46,C
3.22,3.34,3.64,3.54,C
3.14,3.12,3.6,3.5,C
3.24,3.25,3.71,3.49,C
3.24,3.33,3.63,3.56,C
3.43,3.22,3.73,3.52,C
3.35,3.21,3.65,3.59,C
3.2,3.25,3.69,3.51,C
3.21,3.37,3.74,3.55,C
3.36,3.18,3.56,3.43,C
3.41,3.29,3.62,3.51,C
3.28,3.1,3.76,3.46,C
3.32,3.33,3.69,3.6,C
3.17,3.24,3.59,3.37,C
3.2,3.35,3.57,3.42,C
3.26,3.13,3.72,3.49,C
3.39,3.19,3.76,3.64,C
